invoice_id,customer,amount,status,region,due_date
INV-2026-1000,Customer_0026,48078.83,open,West,6 May 2024
INV-2026-1001,Customer_0130,14873.79,cancelled,Global,8 Jan 2025
INV-2026-1002,Customer_0058,29966.26,cancelled,EU,15 Dec 2025
INV-2026-1003,Customer_0066,15221.10,overdue,APAC,1 Dec 2025
INV-2026-1004,Customer_0112,47808.52,cancelled,South,24 Apr 2024
INV-2026-1005,Customer_0142,8826.27,overdue,East,23 Jul 2024
INV-2026-1006,Customer_0032,13739.48,paid,APAC,26 Jan 2025
INV-2026-1007,Customer_0045,39451.53,paid,EU,16 Apr 2024
INV-2026-1008,Customer_0079,38069.67,cancelled,West,23 Sep 2025
INV-2026-1009,Customer_0085,46484.52,cancelled,East,26 Sep 2024
INV-2026-1010,Customer_0093,11297.69,cancelled,South,2 Oct 2025
INV-2026-1011,Customer_0115,2251.43,paid,Global,21 Jan 2025
INV-2026-1012,Customer_0162,29607.55,cancelled,EU,14 Sep 2025
INV-2026-1013,Customer_0161,34077.66,overdue,West,11 Jul 2024
INV-2026-1014,Customer_0122,21707.55,cancelled,EU,25 Apr 2024
INV-2026-1015,Customer_0120,27274.00,paid,North,4 Sep 2025
INV-2026-1016,Customer_0011,20887.29,cancelled,South,10 Sep 2024
INV-2026-1017,Customer_0048,7850.56,paid,US,18 Jul 2024
INV-2026-1018,Customer_0064,19612.69,paid,West,11 Aug 2025
INV-2026-1019,Customer_0012,19037.72,paid,Global,13 Nov 2025
INV-2026-1020,Customer_0181,27992.65,cancelled,EU,6 Jan 2025
INV-2026-1021,Customer_0020,33542.04,open,APAC,15 Jul 2025
INV-2026-1022,Customer_0001,39496.20,paid,East,3 Oct 2025
INV-2026-1023,Customer_0053,21210.46,overdue,EU,15 Mar 2024
INV-2026-1024,Customer_0115,15865.25,open,APAC,7 Jun 2024
INV-2026-1025,Customer_0024,41068.49,open,US,26 Mar 2024
INV-2026-1026,Customer_0175,34416.55,overdue,South,27 May 2025
INV-2026-1027,Customer_0009,11043.08,cancelled,North,7 Jul 2025
INV-2026-1028,Customer_0014,43260.23,overdue,EU,10 Feb 2025
INV-2026-1029,Customer_0014,4123.06,paid,EU,23 Mar 2024
INV-2026-1030,Customer_0087,46620.74,cancelled,North,12 Jan 2024
INV-2026-1031,Customer_0130,24018.14,paid,APAC,25 Jun 2024
INV-2026-1032,Customer_0166,28773.19,paid,EU,19 Mar 2025
INV-2026-1033,Customer_0157,38503.36,cancelled,South,16 Jun 2025
INV-2026-1034,Customer_0177,10226.97,cancelled,West,7 Apr 2024
INV-2026-1035,Customer_0051,18366.68,paid,East,11 Sep 2024
INV-2026-1036,Customer_0184,2036.99,open,East,14 Feb 2024
INV-2026-1037,Customer_0170,38451.87,cancelled,EU,11 Sep 2024
INV-2026-1038,Customer_0143,38315.67,open,EU,13 Jun 2025
